2026-04-04T18:52:47.959325Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959440Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959491Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959529Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959562Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:47.959594Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
2026-04-04T18:52:48.515340Z [info     ] Migrating the Airflow database [airflow.utils.db] loc=db.py:1130
standalone | Starting Airflow Standalone
scheduler  | 2026-04-04T18:53:20.851379Z [info     ] TaskInstance Finished: dag_id=mantus_realtime_dag, task_id=generate_stream, run_id=manual__2026-04-04T18:53:09.985293+00:00, map_index=-1, run_start_date=2026-04-04 18:53:13.409294+00:00, run_end_date=2026-04-04 18:53:20.098236+00:00, run_duration=13.689, state=success, executor=LocalExecutor(parallelism=32), executor_state=success, try_number=1, max_tries=0, pool=default_pool, queue=default, priority_weight=5, operator=PythonOperator, queued_dttm=2026-04-04 18:53:11.914759+00:00, scheduled_dttm=2026-04-04 18:53:11.903114+00:00,queued_by_job_id=102, pid=61801 [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:912
scheduler  | 2026-04-04T18:53:20.876107Z [info     ] Secrets backends loaded for worker [supervisor] backend_classes=['EnvironmentVariablesBackend', 'MetastoreBackend'] count=2 loc=supervisor.py:1975
api-server | 2026-04-04T18:53:20.892566Z [info     ] Task started                   [airflow.api_fastapi.execution_api.routes.task_instances] hostname=mantus-macbook-air.local loc=task_instances.py:199 previous_state=queued ti_id=019d59d7-8601-72b0-8ede-b65821ad3427
api-server | 2026-04-04T18:53:20.893107Z [info     ] Task instance state updated    [airflow.api_fastapi.execution_api.routes.task_instances] loc=task_instances.py:212 rows_affected=1 ti_id=019d59d7-8601-72b0-8ede-b65821ad3427
api-server | INFO:     127.0.0.1:63120 - "PATCH /execution/task-instances/019d59d7-8601-72b0-8ede-b65821ad3427/run HTTP/1.1" 200 OK
api-server | INFO:     127.0.0.1:63120 - "PUT /execution/task-instances/019d59d7-8601-72b0-8ede-b65821ad3427/heartbeat HTTP/1.1" 204 No Content
dag-processor | 2026-04-04T18:53:21.138858Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle        File Path                                                   PID    Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | ------------  ----------------------------------------------------------  -----  ------------------  --------  ----------  ---------------  -------------------
dag-processor | example_dags  example_asset_alias_with_no_taskflow.py                                                       4           0  1.93s            2026-04-04T18:52:53
dag-processor | example_dags  example_asset_alias.py                                                                        4           0  1.57s            2026-04-04T18:52:52
dag-processor | dags-folder   gcp_fake_data_final_dag.py                                                                    1           0  0.86s            2026-04-04T18:52:55
dag-processor | example_dags  tutorial_objectstorage.py                                                                     1           0  0.24s            2026-04-04T18:52:51
dag-processor | example_dags  example_asset_with_watchers.py                                                                1           0  0.09s            2026-04-04T18:52:53
dag-processor | dags-folder   load_gcs_to_bigquery_dag.py                                                                   1           0  0.08s            2026-04-04T18:52:55
dag-processor | example_dags  example_assets.py                                                                            10           0  0.07s            2026-04-04T18:52:53
dag-processor | example_dags  example_dynamic_task_mapping.py                                                               2           0  0.07s            2026-04-04T18:52:50
dag-processor | example_dags  example_passing_params_via_test_command.py                                                    1           0  0.07s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_hitl_operator.py                                                             1           0  0.07s            2026-04-04T18:52:54
dag-processor | example_dags  example_complex.py                                                                            1           0  0.07s            2026-04-04T18:52:54
dag-processor | example_dags  example_task_group_decorator.py                                                               1           0  0.07s            2026-04-04T18:52:50
dag-processor | example_dags  example_latest_only_with_trigger.py                                                           1           0  0.07s            2026-04-04T18:52:53
dag-processor | dags-folder   mantus_dag.py                                                                                 1           0  0.06s            2026-04-04T18:52:55
dag-processor | dags-folder   mantus_dag2.py                                                                                1           0  0.06s            2026-04-04T18:52:55
dag-processor | dags-folder   gcp_elt_pipeline_transformation.py                                                            1           0  0.06s            2026-04-04T18:52:55
dag-processor | example_dags  example_nested_branch_dag.py                                                                  1           0  0.06s            2026-04-04T18:52:53
dag-processor | example_dags  example_time_delta_sensor_async.py                                                            1           0  0.06s            2026-04-04T18:52:53
dag-processor | example_dags  standard/example_trigger_controller_dag.py                                                    1           0  0.05s            2026-04-04T18:52:51
dag-processor | example_dags  standard/example_branch_operator.py                                                           1           0  0.05s            2026-04-04T18:52:53
dag-processor | example_dags  example_params_trigger_ui.py                                                                  1           0  0.05s            2026-04-04T18:52:54
dag-processor | example_dags  example_branch_labels.py                                                                      1           0  0.05s            2026-04-04T18:52:53
dag-processor | example_dags  example_custom_weight.py                                                                      1           0  0.05s            2026-04-04T18:52:51
dag-processor | example_dags  example_params_ui_tutorial.py                                                                 1           0  0.05s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_python_decorator.py                                                          1           0  0.05s            2026-04-04T18:52:51
dag-processor | example_dags  standard/example_branch_operator_decorator.py                                                 1           0  0.05s            2026-04-04T18:52:54
dag-processor | example_dags  tutorial_taskflow_api.py                                                                      1           0  0.04s            2026-04-04T18:52:53
dag-processor | example_dags  example_simplest_dag.py                                                                       1           0  0.04s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_bash_operator.py                                                             1           0  0.04s            2026-04-04T18:52:53
dag-processor | example_dags  standard/example_short_circuit_operator.py                                                    1           0  0.04s            2026-04-04T18:52:51
dag-processor | example_dags  tutorial_dag.py                                                                               1           0  0.04s            2026-04-04T18:52:53
dag-processor | example_dags  example_asset_decorator.py                                                                    3           0  0.04s            2026-04-04T18:52:54
dag-processor | example_dags  example_outlet_event_extra.py                                                                 3           0  0.04s            2026-04-04T18:52:54
dag-processor | example_dags  example_skip_dag.py                                                                           1           0  0.04s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_bash_decorator.py                                                            1           0  0.04s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_branch_day_of_week_operator.py                                               1           0  0.04s            2026-04-04T18:52:54
dag-processor | example_dags  example_setup_teardown_taskflow.py                                                            1           0  0.04s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_branch_datetime_operator.py                                                  3           0  0.04s            2026-04-04T18:52:54
dag-processor | example_dags  plugins/decreasing_priority_weight_strategy.py                                                0           0  0.04s            2026-04-04T18:52:53
dag-processor | example_dags  example_workday_timetable.py                                                                  1           0  0.04s            2026-04-04T18:52:53
dag-processor | example_dags  plugins/event_listener.py                                                                     0           0  0.04s            2026-04-04T18:52:51
dag-processor | example_dags  standard/example_sensor_decorator.py                                                          1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  tutorial.py                                                                                   1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_external_task_marker_dag.py                                                  2           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  plugins/listener_plugin.py                                                                    0           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  example_local_kubernetes_executor.py                                                          0           0  0.03s            2026-04-04T18:52:53
dag-processor | example_dags  example_xcom.py                                                                               1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_short_circuit_decorator.py                                                   1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  example_trigger_target_dag.py                                                                 1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  example_branch_python_dop_operator_3.py                                                       1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_external_task_child_deferrable.py                                            1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_external_task_parent_deferrable.py                                           1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  example_display_name.py                                                                       1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  example_dynamic_task_mapping_with_no_taskflow_operators.py                                    1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_latest_only.py                                                               1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  example_setup_teardown.py                                                                     1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  example_inlet_event_extra.py                                                                  2           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  plugins/workday.py                                                                            0           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_python_operator.py                                                           1           0  0.03s            2026-04-04T18:52:53
dag-processor | example_dags  example_xcomargs.py                                                                           2           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  tutorial_taskflow_templates.py                                                                1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  tutorial_taskflow_api_virtualenv.py                                                           1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  example_dag_decorator.py                                                                      1           0  0.03s            2026-04-04T18:52:54
dag-processor | dags-folder   hello_world_dag.py                                                                            1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  standard/example_sensors.py                                                                   1           0  0.03s            2026-04-04T18:52:54
dag-processor | example_dags  example_kubernetes_executor.py                                                                0           0  0.02s            2026-04-04T18:52:54
dag-processor | example_dags  example_task_group.py                                                                         1           0  0.02s            2026-04-04T18:52:54
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:815
dag-processor | 2026-04-04T18:53:21.141338Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:585
dag-processor | 2026-04-04T18:53:21.141567Z [info     ] Not time to refresh bundle example_dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:585
dag-processor | 2026-04-04T18:53:21.220957Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:21.223719Z [info     ] Setting next_dagrun for example_dynamic_task_mapping to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:21.224552Z [info     ] Setting next_dagrun for example_task_mapping_second_order to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:21.246397Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:21.249091Z [info     ] Setting next_dagrun for example_task_group_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:21.264945Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:21.268890Z [info     ] Setting next_dagrun for example_custom_weight to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
scheduler  | 2026-04-04T18:53:21.518581Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:53:21.518683Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:53:21.518740Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:53:21.518786Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:53:21.518828Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:53:21.518869Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-04T18:53:21.884080Z [info     ] Worker starting up pid=61914   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
dag-processor | 2026-04-04T18:53:22.316307Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:22.319822Z [info     ] Setting next_dagrun for example_trigger_controller_dag to 2021-01-01 00:00:00+00:00, run_after=2021-01-01 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:22.336437Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:22.338902Z [info     ] Setting next_dagrun for example_short_circuit_operator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:22.366541Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:22.369809Z [info     ] Setting next_dagrun for example_python_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:22.414526Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:22.416760Z [info     ] Setting next_dagrun for tutorial_objectstorage to None, run_after=None [airflow.models.dag] loc=dag.py:693
api-server | INFO:     127.0.0.1:63105 - "GET /ui/dags?dag_runs_limit=1&limit=50&offset=0&exclude_stale=true&last_dag_run_state=running&order_by=dag_display_name HTTP/1.1" 200 OK
api-server | 2026-04-04T18:53:23.350210Z [info     ] Updating RenderedTaskInstanceFields [airflow.api_fastapi.execution_api.routes.task_instances] field_count=5 loc=task_instances.py:687 ti_id=019d59d7-8601-72b0-8ede-b65821ad3427
api-server | INFO:     127.0.0.1:63120 - "PUT /execution/task-instances/019d59d7-8601-72b0-8ede-b65821ad3427/rtif HTTP/1.1" 201 Created
api-server | 2026-04-04T18:53:23.362833Z [warning  ] Connection schemes (type: google_cloud_platform) shall not contain '_' according to RFC3986. [airflow.models.connection.Connection] loc=connection.py:269
api-server | INFO:     127.0.0.1:63120 - "GET /execution/connections/google_cloud_default HTTP/1.1" 200 OK
dag-processor | 2026-04-04T18:53:23.469697Z [info     ] Sync 4 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:23.473476Z [info     ] Setting next_dagrun for asset_alias_example_alias_consumer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:23.473997Z [info     ] Setting next_dagrun for asset_alias_example_alias_producer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:23.474481Z [info     ] Setting next_dagrun for asset_s3_bucket_consumer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:23.474831Z [info     ] Setting next_dagrun for asset_s3_bucket_producer to None, run_after=None [airflow.models.dag] loc=dag.py:693
api-server | INFO:     127.0.0.1:63120 - "POST /execution/xcoms/mantus_realtime_dag/manual__2026-04-04T18%3A53%3A09.985293%2B00%3A00/load/bigquery_table HTTP/1.1" 201 Created
api-server | INFO:     127.0.0.1:63120 - "POST /execution/xcoms/mantus_realtime_dag/manual__2026-04-04T18%3A53%3A09.985293%2B00%3A00/load/job_id_path HTTP/1.1" 201 Created
api-server | INFO:     127.0.0.1:63120 - "POST /execution/xcoms/mantus_realtime_dag/manual__2026-04-04T18%3A53%3A09.985293%2B00%3A00/load/bigquery_job_detail HTTP/1.1" 201 Created
dag-processor | 2026-04-04T18:53:24.554402Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.556715Z [info     ] Setting next_dagrun for example_sensors to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.560844Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.561769Z [info     ] Setting next_dagrun for example_python_operator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.598352Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.600499Z [info     ] Setting next_dagrun for example_external_task_marker_child to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.601013Z [info     ] Setting next_dagrun for example_external_task_marker_parent to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.609661Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.613616Z [info     ] Setting next_dagrun for example_hitl_operator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.631956Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.635129Z [info     ] Setting next_dagrun for child_dag to 2022-01-01 00:00:00+00:00, run_after=2022-01-01 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.659282Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.664632Z [info     ] Setting next_dagrun for example_branch_operator to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.681839Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.686729Z [info     ] Setting next_dagrun for example_weekday_branch_operator to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.704636Z [info     ] Sync 3 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.709848Z [info     ] Setting next_dagrun for example_branch_datetime_operator to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.711636Z [info     ] Setting next_dagrun for example_branch_datetime_operator_2 to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.713087Z [info     ] Setting next_dagrun for example_branch_datetime_operator_3 to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.734868Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.739969Z [info     ] Setting next_dagrun for example_bash_operator to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.777301Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.782398Z [info     ] Setting next_dagrun for tutorial_taskflow_templates to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.798525Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.800606Z [info     ] Setting next_dagrun for tutorial_taskflow_api_virtualenv to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.818022Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.820499Z [info     ] Setting next_dagrun for tutorial_taskflow_api to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.837381Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.839675Z [info     ] Setting next_dagrun for tutorial_dag to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.857819Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.860359Z [info     ] Setting next_dagrun for example_xcom_args to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.861106Z [info     ] Setting next_dagrun for example_xcom_args_with_operators to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.878040Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.883474Z [info     ] Setting next_dagrun for example_workday_timetable to 2026-04-06 00:00:00+00:00, run_after=2026-04-07 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.900055Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.902208Z [info     ] Setting next_dagrun for example_time_delta_sensor_async to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.920459Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.923982Z [info     ] Setting next_dagrun for example_skip_dag to 2026-04-04 18:53:24.923844+00:00, run_after=2026-04-04 18:53:24.923844+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.953877Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.955865Z [info     ] Setting next_dagrun for example_simplest_dag to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.971927Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:24.978240Z [info     ] Setting next_dagrun for example_passing_params_via_test_command to 2026-04-04 18:53:00+00:00, run_after=2026-04-04 18:53:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:24.997908Z [info     ] Sync 3 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:25.004041Z [info     ] Setting next_dagrun for asset_with_extra_by_context to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.006159Z [info     ] Setting next_dagrun for asset_with_extra_by_yield to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.007620Z [info     ] Setting next_dagrun for asset_with_extra_from_classic_operator to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.031221Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:25.036196Z [info     ] Setting next_dagrun for example_nested_branch_dag to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.070598Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:25.074487Z [info     ] Setting next_dagrun for latest_only_with_trigger to 2026-04-04 18:53:25.074335+00:00, run_after=2026-04-04 18:53:25.074335+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.090618Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:25.096422Z [info     ] Setting next_dagrun for read_asset_event to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.098114Z [info     ] Setting next_dagrun for read_asset_event_from_classic to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.120207Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:25.122450Z [info     ] Setting next_dagrun for example_display_name to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.143642Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:25.146889Z [info     ] Setting next_dagrun for example_complex to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.164641Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:25.170023Z [info     ] Setting next_dagrun for example_branch_labels to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.190347Z [info     ] Sync 10 DAGs                   [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:25.195138Z [info     ] Setting next_dagrun for asset_consumes_1 to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.195771Z [info     ] Setting next_dagrun for asset_consumes_1_and_2 to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.196201Z [info     ] Setting next_dagrun for asset_consumes_1_never_scheduled to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.196606Z [info     ] Setting next_dagrun for asset_consumes_unknown_never_scheduled to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.198476Z [info     ] Setting next_dagrun for asset_produces_1 to 2026-04-04 00:00:00+00:00, run_after=2026-04-04 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.199113Z [info     ] Setting next_dagrun for asset_produces_2 to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.200542Z [info     ] Setting next_dagrun for conditional_asset_and_time_based_timetable to 2026-04-01 01:00:00+00:00, run_after=2026-04-01 01:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.201204Z [info     ] Setting next_dagrun for consume_1_and_2_with_asset_expressions to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.201617Z [info     ] Setting next_dagrun for consume_1_or_2_with_asset_expressions to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.202033Z [info     ] Setting next_dagrun for consume_1_or_both_2_and_3_with_asset_expressions to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.231710Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-04-04T18:53:25.234967Z [info     ] Setting next_dagrun for example_asset_with_watchers to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-04-04T18:53:25.255451Z [info     ] Sync 3 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
